121,3 2:-0.792451740082 3:-0.821894657593 4:-0.213627422091 9:-0.718138696591
122,3 2:-0.981900696026 3:-0.857502281556 4:-0.422048072486 9:-0.774771690703
123,3 2:-0.928275649797 3:-0.859489220718 4:-0.456194895635 9:-0.924237374948
124,3 2:-0.979422258268 3:-0.859288407704 4:-0.442404490288 9:-0.869038864502
125,3 2:-0.546458022088 3:-0.999130898989 4:-0.987798389308 9:-0.586337985021
126,3 2:-0.996397695522 3:-0.858497497691 4:-0.431864941486 9:-0.945377293877
127,3 2:-0.953511985477 3:-0.859689241388 4:-0.474325648944 9:-0.968925690636
128,3 2:-0.854933876334 3:-0.870613968104 4:-0.625396071277 9:-0.910097925185
129,3 2:-0.887408076164 3:-0.853819978724 4:-0.360194361771 9:-0.843916159839
130,3 2:-0.962141706744 3:-0.857493808517 4:-0.421078725183 9:-0.833063279435
131,3 2:-0.985024383624 3:-0.858898797461 4:-0.452065736969 9:-0.980531031402
132,3 2:-0.917781004203 3:-0.864106576994 4:-0.554533447213 9:-0.926046766078
133,3 2:-0.79666117076 3:-0.886073418207 4:-0.665865896781 9:-0.806636992335
134,3 2:-0.865332099742 3:-0.88071987015 4:-0.531208953038 9:-0.670872710631
135,3 2:-0.897614250111 3:-0.844285633246 4:-0.351595929032 9:-0.693888044443
136,3 2:-0.975435634669 3:-0.8582448848 4:-0.420796265267 9:-0.974050383602
137,3 2:-0.222675202643 3:-0.666382625331 4:-0.210770444662 9:0.340623909591
138,3 2:-0.961032170368 3:-0.858098033694 4:-0.418653432157 9:-0.962736040833
139,3 2:-0.88949948381 3:-0.869406794793 4:-0.565006223308 9:-0.863753947783
140,3 2:-0.901988887981 3:-0.849985561563 4:-0.35191125763 9:-0.759473464131
141,3 2:0.648607250409 3:1.0 4:1.0 9:1.0
142,3 2:-0.9576703475 3:-0.857819011449 4:-0.423324328008 9:-0.947110384525
143,3 2:-0.68861331851 3:-0.845891460847 4:-0.368338959928 9:-0.67128088133
144,3 2:-0.561798538946 3:-1.0 4:-1.0 9:-0.58011347715
145,3 2:-0.984557890332 3:-0.858021995177 4:-0.418289323791 9:-0.893009172803
146,3 2:-0.953866017343 3:-0.856905227429 4:-0.386185843445 9:-0.951705278287
147,3 2:-0.900020079866 3:-0.860639923676 4:-0.451408001005 9:-0.8568280325
148,3 2:-0.785879517851 3:-0.8519318573 4:-0.397142768874 9:-0.662977192611
149,3 2:-0.929205450887 3:-0.860109589586 4:-0.463763495902 9:-0.904140707516
150,4 2:-0.881174351083 3:-0.344803690999 4:-0.0808940810667 9:-0.67530672979
151,4 2:-0.770056174875 3:-0.411773945881 4:-0.341277633922 9:-0.678252283736
152,4 2:1.0 3:1.0 4:1.0 9:0.715552826852
153,4 2:-0.854552824315 3:-0.375460693381 4:-0.250341962037 9:-0.760998285587
154,4 2:-0.970197890109 3:-0.347596062807 4:-0.0662236925603 9:-0.998084770345
155,4 2:-0.949013900412 3:-0.347135614709 4:-0.0776909339147 9:-0.911215335323
156,4 2:-0.955155375503 3:-0.34687951154 4:-0.0367090219486 9:-0.983464064949
157,4 2:-0.31564320133 3:-0.479734472135 4:-0.160990378406 9:0.479566723658
158,4 2:-0.194378691681 3:-1.0 4:-1.0 9:0.034403759227
159,4 2:-0.961767404481 3:-0.351422131202 4:-0.122114162042 9:-0.876127204424
160,4 2:-0.819936316678 3:-0.394422335842 4:-0.286975906555 9:-0.67136711009
161,4 2:0.0612064538592 3:0.334680215454 4:0.465894778833 9:1.0
162,4 2:-0.693115509755 3:-0.454723748251 4:-0.344505332587 9:-0.479123151611
163,4 2:-0.878970219417 3:-0.342431116158 4:-0.046518368523 9:-0.413234189392
164,4 2:-0.966463782824 3:-0.350825424959 4:-0.128064899377 9:-0.886317944351
165,4 2:-0.840918267402 3:-0.363269839857 4:-0.170936399885 9:-0.649699132015
166,4 2:-0.547091651328 3:-0.446209092933 4:-0.327706866994 9:-0.397973197273
167,4 2:-0.943867143867 3:-0.346920195561 4:-0.0633567142397 9:-0.897421162623
168,4 2:-0.925806206492 3:-0.358346346643 4:-0.167323236841 9:-0.820510932469
169,4 2:-0.850898070809 3:-0.310603530525 4:0.0564656354172 9:-0.600437567734
170,4 2:-0.655132027945 3:-0.252952560669 4:0.147956696886 9:-0.534970218454
171,4 2:-0.65001314338 3:-0.278184158489 4:0.210755765272 9:-0.74937137415
172,4 2:-0.732067300671 3:-0.43059873541 4:-0.319180929548 9:-0.510521209903
173,4 2:-0.884711762386 3:-0.360849729878 4:-0.164338149985 9:-0.749420039334
174,4 2:-0.773574058419 3:-0.27669995283 4:0.145648677153 9:-0.603466544629
175,4 2:-0.785094371371 3:-0.314937035971 4:0.0266587675468 9:-0.655587286024
176,4 2:-0.489430337421 3:-0.549112515341 4:-0.376617048163 9:0.0560243617669
177,4 2:-0.276555948596 3:-0.0878824128091 4:0.233391513048 9:0.144804500325
178,4 2:-0.642208730758 3:-0.361218484171 4:-0.108610390868 9:-0.4216238067
179,4 2:-0.767650576211 3:-0.284269246352 4:0.148512384203 9:-0.690886790689
180,4 2:-0.906877176165 3:-0.35240146896 4:-0.124260849021 9:-0.834594151723
181,4 2:-0.514776569364 3:-0.62256594311 4:-0.693755129136 9:-0.352656917572
182,4 2:-0.635341802223 3:-0.494987025067 4:-0.398855476078 9:-0.354415504816
183,4 2:-0.989580612768 3:-0.347700968871 4:-0.0767651107699 9:-0.929960624919
184,4 2:-0.658241540061 3:-0.454701182234 4:-0.315880830531 9:-0.414345958023
185,4 2:0.0692190481494 3:0.26873067257 4:0.361274106118 9:0.871807048701
186,4 2:-0.683897752194 3:-0.233772114903 4:0.300851370323 9:-0.571977230062
187,4 2:-0.43749937373 3:0.00811509510918 4:0.519143940737 9:-0.293195375782
188,4 2:0.249024760666 3:0.0758639527702 4:0.12892643031 9:0.483883556283
189,4 2:-0.680681174921 3:-0.304941226142 4:0.0269869989163 9:-0.578258915181
190,4 2:-0.8101190882 3:-0.391524378984 4:-0.235507592208 9:-0.580169686767
191,4 2:-0.973959327921 3:-0.347950756392 4:-0.099071487135 9:-0.95978710614
192,4 2:-0.743741289946 3:-0.436952576771 4:-0.344208518557 9:-0.507549757764
193,4 2:-1.0 3:-0.348014979433 4:-0.0770221428269 9:-1.0
194,4 2:-0.80126343729 3:-0.302896169248 4:0.111863891027 9:-0.71291112125
195,4 2:-0.476422686174 3:-0.729383785194 4:-0.598723922957 9:0.0108082827489
196,4 2:-0.0682854824684 3:0.416114586849 4:0.89315713904 9:-0.0780700788346
197,4 2:-0.943516590582 3:-0.343551990505 4:-0.0521853751397 9:-0.863932752861
198,4 2:-0.883506765371 3:-0.366889477547 4:-0.255476752117 9:-0.826394720358
199,4 2:-0.719415174517 3:-0.285671909498 4:0.217174938188 9:-0.795968818562
